"","y14b225","w14edu","sampid","y14g101","y14a034","y14a065","y14a080","y14b308","y14b156z","y14b161","w14type","y14f310","y14b22","y14g7"
"1226",4000,4,3423,1,NA,NA,NA,1,6,1,5,1,110132.7,384142319
"1227",NA,4,3424,1,NA,NA,NA,NA,NA,NA,6,2,110132.7,384142319
"1228",NA,NA,3429,NA,NA,NA,NA,NA,NA,NA,NA,NA,110132.7,384142319
"1229",NA,NA,3433,NA,NA,NA,NA,NA,NA,NA,NA,NA,110132.7,384142319
"1230",NA,4,3436,2,NA,NA,NA,NA,NA,NA,6,2,110132.7,384142319
"1231",250,4,3437,2,NA,NA,NA,1,6,1,5,2,110132.7,384142319
"1232",250,4,3438,1,NA,NA,NA,1,4,1,5,2,110132.7,384142319
"1233",230,4,3440,1,NA,NA,NA,1,0,1,5,2,110132.7,384142319
"1234",300,4,3444,2,NA,NA,NA,1,1,1,5,1,110132.7,384142319
"1235",200,4,3447,1,NA,NA,NA,2,4,2,5,1,110132.7,384142319
"1236",650,5,3448,2,NA,NA,NA,1,2,1,5,1,110132.7,384142319
"1237",NA,4,3457,2,NA,NA,NA,NA,NA,NA,6,1,110132.7,384142319
"1238",NA,NA,3468,NA,NA,NA,NA,NA,NA,NA,NA,NA,110132.7,384142319
"1239",NA,NA,3469,NA,NA,NA,NA,NA,NA,NA,NA,NA,110132.7,384142319
"1240",400,4,3472,1,NA,NA,NA,1,1,1,5,1,110132.7,384142319
"1241",400,4,3473,1,NA,NA,NA,1,6,1,5,1,110132.7,384142319
"1242",500,5,3475,1,NA,NA,NA,1,1,2,5,1,110132.7,384142319
"1243",NA,4,3476,2,NA,NA,NA,NA,NA,NA,6,1,110132.7,384142319
"1244",300,4,3478,2,NA,NA,NA,1,2,1,5,1,110132.7,384142319
"1245",NA,5,3479,1,NA,NA,NA,NA,NA,NA,6,1,110132.7,384142319
"1246",100,4,3482,1,NA,NA,NA,NA,6,5,5,1,110132.7,384142319
"1247",350,4,3483,1,NA,NA,NA,1,0,1,5,1,110132.7,384142319
"1248",220,4,3484,1,NA,NA,NA,1,4,1,5,1,110132.7,384142319
"1249",300,4,3487,1,NA,NA,NA,1,1,1,5,1,110132.7,384142319
"1250",NA,5,3488,1,NA,NA,NA,NA,NA,NA,6,1,110132.7,384142319
"1251",4600,5,3489,2,NA,NA,NA,1,0,1,5,2,110132.7,384142319
"1252",NA,4,3493,2,NA,NA,NA,NA,NA,NA,6,2,110132.7,384142319
"1253",4000,4,3496,1,NA,NA,NA,1,0,1,5,3,110132.7,384142319
"1254",2.5,4,3498,2,NA,NA,NA,2,4,2,5,1,110132.7,384142319
"1255",4800,4,3502,2,NA,NA,NA,1,0,1,5,1,110132.7,384142319
"1256",230,4,3504,1,NA,NA,NA,1,0,1,5,2,110132.7,384142319
"1257",365,4,3510,2,NA,NA,NA,1,0,1,5,2,110132.7,384142319
"1258",4400,5,3511,2,NA,NA,NA,1,0,1,5,1,110132.7,384142319
"1259",NA,4,3513,1,NA,NA,NA,NA,NA,NA,6,3,110132.7,384142319
"1260",230,4,3516,1,NA,NA,NA,1,0,1,5,3,110132.7,384142319
"1261",NA,4,3520,2,NA,NA,NA,NA,NA,NA,6,4,110132.7,384142319
"1262",NA,NA,3525,NA,NA,NA,NA,NA,NA,NA,NA,NA,110132.7,384142319
"1263",200,4,3529,1,NA,NA,NA,2,5,2,5,1,110132.7,384142319
"1264",7000,4,3531,1,NA,NA,NA,1,0,1,5,1,110132.7,384142319
"1265",4200,4,3532,2,NA,NA,NA,1,1,1,5,4,110132.7,384142319
"1266",300,4,3535,1,NA,NA,NA,1,0,1,5,3,110132.7,384142319
"1267",5000,4,3540,2,NA,NA,NA,1,0,1,5,2,110132.7,384142319
"1268",390,4,3541,1,NA,NA,NA,1,0,1,5,1,110132.7,384142319
"1269",8000,4,3550,1,NA,NA,NA,1,1,1,5,4,110132.7,384142319
"1270",230,4,3554,1,NA,NA,NA,1,0,1,5,2,110132.7,384142319
"1271",2500,4,3568,2,NA,NA,NA,1,0,1,5,3,110132.7,384142319
"1272",250,4,3573,1,NA,NA,NA,1,0,1,5,2,110132.7,384142319
"1273",6000,4,3574,2,NA,NA,NA,1,0,1,5,2,110132.7,384142319
"1274",300,4,3576,1,NA,NA,NA,1,0,1,5,1,110132.7,384142319
"1275",NA,NA,3582,NA,NA,NA,NA,NA,NA,NA,NA,NA,110132.7,384142319
"1276",9090908,4,3583,2,NA,NA,NA,NA,2,4,5,2,110132.7,384142319
"1277",NA,NA,3584,NA,NA,NA,NA,NA,NA,NA,NA,NA,110132.7,384142319
"1278",200,4,3588,1,NA,NA,NA,NA,2,5,5,2,110132.7,384142319
"1279",5500,5,3589,1,NA,NA,NA,1,3,1,5,3,110132.7,384142319
"1280",7500,4,3595,2,NA,NA,NA,1,0,1,5,2,110132.7,384142319
"1281",7000,4,3596,2,NA,NA,NA,1,0,1,5,1,110132.7,384142319
"1282",4200,4,3601,2,NA,NA,NA,1,0,1,5,3,110132.7,384142319
"1283",200,4,3602,2,NA,NA,NA,1,0,1,5,2,110132.7,384142319
"1284",5000,4,3604,1,NA,NA,NA,1,1,1,5,3,110132.7,384142319
"1285",9090908,4,3605,1,NA,NA,NA,1,0,1,5,3,110132.7,384142319
"1286",3300,4,3612,1,NA,NA,NA,1,0,1,5,3,110132.7,384142319
"1287",2800,4,3613,1,NA,NA,NA,1,0,1,5,3,110132.7,384142319
"1288",NA,4,3617,1,NA,NA,NA,NA,NA,NA,6,4,110132.7,384142319
"1289",4800,4,3618,2,NA,NA,NA,1,2,1,5,1,110132.7,384142319
"1290",3000,4,3619,1,NA,NA,NA,1,2,1,5,2,110132.7,384142319
"1291",4500,4,3621,1,NA,NA,NA,1,5,1,5,2,110132.7,384142319
