"","y13b224","y13b225","w13edu","sampid","y13g101","y13a034","y13a065","y13a080","y13b308","y13b156z","y13b161","w13type","y13f310","y13g500","y13b22","y13g7"
"3255",2,300,4,9407,1,NA,NA,NA,1,0,1,5,2,2,40,3600
"3256",2,200,4,9408,1,NA,NA,NA,1,0,1,5,2,2,48,2000
"3257",NA,NA,5,9409,2,NA,NA,NA,NA,NA,NA,6,3,1,NA,2600
"3258",NA,NA,5,9416,2,NA,NA,NA,NA,NA,NA,6,2,1,NA,2500
"3259",1,6000,5,9417,1,NA,NA,NA,1,0,1,5,3,2,41,6000
"3260",NA,NA,5,9420,2,NA,NA,NA,NA,NA,NA,6,4,2,NA,3000
"3261",2,300,4,9421,2,NA,NA,NA,1,2,1,5,1,1,40,3000
"3262",2,230,4,9423,1,NA,NA,NA,1,0,1,5,2,2,40,2500
"3263",NA,NA,4,9426,1,NA,NA,NA,NA,NA,NA,6,2,2,NA,3000
"3264",2,500,4,9432,1,NA,NA,NA,NA,5,4,5,1,2,40,3000
"3265",1,3000,5,9433,1,NA,NA,NA,1,1,1,5,2,2,40,3500
"3266",2,300,5,9435,1,NA,NA,NA,NA,2,5,5,1,2,43,5000
"3267",2,70,4,9440,2,NA,NA,NA,1,3,1,5,2,1,24,1000
"3268",2,200,4,9444,1,NA,NA,NA,1,3,1,5,2,2,40,2400
"3269",NA,NA,NA,9445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3270",2,300,4,9448,2,NA,NA,NA,2,4,2,5,1,2,30,2400
"3271",2,380,4,9451,2,NA,NA,NA,1,6,1,5,2,1,40,2500
"3272",NA,NA,NA,9455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3273",1,3000,4,9456,1,NA,NA,NA,1,0,1,5,2,2,40,3000
"3274",2,300,4,9457,2,NA,NA,NA,1,1,1,5,2,1,40,2000
"3275",1,6500,4,9458,1,NA,NA,NA,1,6,1,5,1,2,40,7000
"3276",1,3500,5,9462,2,NA,NA,NA,1,2,1,5,3,1,41,3000
"3277",NA,NA,4,9464,2,NA,NA,NA,NA,NA,NA,6,2,1,NA,3500
"3278",1,8000,4,9466,2,NA,NA,NA,1,0,1,5,1,1,52,6000
"3279",1,6000,4,9467,2,NA,NA,NA,1,2,1,5,1,1,40,6000
"3280",2,350,4,9470,2,NA,NA,NA,1,8,1,5,3,1,40,2000
"3281",1,3800,4,9474,1,NA,NA,NA,1,1,1,5,1,2,40,3000
"3282",NA,NA,NA,9476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3283",1,4500,4,9482,2,NA,NA,NA,1,0,1,5,1,1,40,4800
"3284",1,3600,4,9484,2,NA,NA,NA,1,2,1,5,1,1,40,2400
"3285",1,3200,4,9492,2,NA,NA,NA,1,4,1,5,2,2,40,2700
"3286",1,4500,4,9493,1,NA,NA,NA,1,1,1,5,2,2,40,5000
"3287",2,250,4,9496,1,NA,NA,NA,1,0,1,5,2,2,40,4000
"3288",2,250,5,9497,1,NA,NA,NA,1,1,1,5,2,2,50,3000
"3289",NA,NA,4,9499,1,NA,NA,NA,NA,NA,NA,6,2,2,NA,3000
"3290",NA,NA,4,9503,1,NA,NA,NA,NA,NA,NA,6,2,2,NA,3000
"3291",1,3500,4,9504,2,NA,NA,NA,1,2,1,5,1,1,40,2500
"3292",2,120,4,9505,1,NA,NA,NA,2,0,2,5,1,2,8,3000
"3293",1,4500,4,9507,2,NA,NA,NA,1,0,1,5,5,1,45,4000
"3294",1,9090908,4,9509,2,NA,NA,NA,1,4,1,5,2,1,48,1200
"3295",2,400,4,9512,2,NA,NA,NA,1,2,1,5,1,1,40,3000
"3296",2,400,4,9513,2,NA,NA,NA,1,1,1,5,2,1,45,1000
"3297",NA,NA,NA,9518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3298",2,300,4,9519,1,NA,NA,NA,1,0,1,5,1,2,50,3400
"3299",2,260,4,9523,1,NA,NA,NA,1,0,1,5,1,2,40,2800
"3300",1,2600,4,9526,1,NA,NA,NA,1,0,1,5,2,2,50,2400
"3301",2,200,4,9533,1,NA,NA,NA,1,0,1,5,2,2,40,3000
"3302",2,250,4,9534,1,NA,NA,NA,1,3,1,5,2,2,40,2000
"3303",2,200,4,9538,1,NA,NA,NA,NA,6,4,5,1,2,50,3000
"3304",2,175,4,9539,2,NA,NA,NA,2,2,1,5,1,2,40,2400
"3305",NA,NA,4,9542,1,NA,NA,NA,NA,NA,NA,6,1,2,NA,4000
"3306",2,700,5,9544,1,NA,NA,NA,1,3,1,5,2,2,40,10000
"3307",NA,NA,4,9545,1,NA,NA,NA,NA,NA,NA,6,1,2,NA,3000
"3308",NA,NA,4,9548,1,NA,NA,NA,NA,NA,NA,6,2,2,NA,2800
"3309",NA,NA,4,9553,1,NA,NA,NA,NA,NA,NA,6,4,2,NA,3000
"3310",1,8500,4,9554,1,NA,NA,NA,1,0,1,5,1,2,42,5000
"3311",2,400,4,9555,2,NA,NA,NA,1,0,1,5,2,1,40,4000
"3312",NA,NA,4,9556,2,NA,NA,NA,NA,NA,NA,6,3,1,NA,1500
"3313",1,3000,4,9558,1,NA,NA,NA,1,0,1,5,3,2,40,2500
"3314",2,300,4,9559,2,NA,NA,NA,1,1,1,5,2,1,40,4000
"3315",1,5000,4,9560,2,NA,NA,NA,1,4,1,5,2,1,50,5000
"3316",1,4400,4,9561,1,NA,NA,NA,1,1,1,5,2,2,50,5000
"3317",NA,NA,4,9562,1,NA,NA,NA,NA,NA,NA,6,4,2,NA,2500
"3318",2,250,4,9572,1,NA,NA,NA,1,5,1,5,3,2,40,3500
"3319",2,300,4,9573,2,NA,NA,NA,1,0,1,5,1,1,42,3000
"3320",NA,NA,NA,9575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3321",1,3000,4,9579,1,NA,NA,NA,2,2,2,5,1,2,40,3000
"3322",NA,NA,NA,9583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3323",2,280,4,9584,1,NA,NA,NA,1,2,1,5,2,2,40,4000
"3324",NA,NA,4,9589,2,NA,NA,NA,NA,NA,NA,6,4,1,NA,3000
"3325",1,6000,4,9593,2,NA,NA,NA,1,0,1,5,1,1,47,5000
"3326",2,500,4,9596,2,NA,NA,NA,1,0,1,5,2,1,40,6000
"3327",2,400,5,9599,2,NA,NA,NA,1,0,1,5,3,1,41,8000
"3328",2,400,4,9602,1,NA,NA,NA,1,6,1,5,2,2,45,4500
"3329",2,300,4,9603,1,NA,NA,NA,1,8,1,5,1,2,42,5000
"3330",2,250,4,9611,2,NA,NA,NA,1,0,1,5,2,2,40,5000
"3331",1,3200,4,9613,1,NA,NA,NA,1,1,1,5,2,2,60,4000
"3332",2,220,4,9615,1,NA,NA,NA,2,6,2,5,3,2,54,3000
"3333",2,1000,4,9617,2,NA,NA,NA,1,6,1,5,4,1,40,10000
"3334",NA,NA,4,9619,1,NA,NA,NA,NA,NA,NA,6,1,2,NA,3000
"3335",1,7000,4,9620,2,NA,NA,NA,1,0,1,5,2,1,45,7000
"3336",1,8000,4,9625,2,NA,NA,NA,1,0,1,5,2,1,40,6000
"3337",1,6000,4,9632,2,NA,NA,NA,1,0,1,5,2,1,45,5000
"3338",NA,NA,4,9634,1,5,1,5,NA,NA,NA,3,1,2,NA,NA
"3339",2,120,4,9635,2,NA,NA,NA,NA,2,5,5,2,1,20,2400
"3340",2,200,5,9636,2,NA,NA,NA,1,0,1,5,1,2,40,3000
"3341",2,300,4,9637,2,NA,NA,NA,1,0,1,5,2,2,40,5000
"3342",2,360,4,9642,1,NA,NA,NA,1,2,1,5,2,2,40,3600
"3343",2,400,4,9644,2,NA,NA,NA,1,1,1,5,1,1,40,2500
"3344",1,3200,4,9646,1,NA,NA,NA,1,2,1,5,2,2,40,2400
"3345",NA,NA,4,9650,2,NA,NA,NA,NA,NA,NA,6,2,1,NA,3000
"3346",NA,NA,5,9654,2,NA,NA,NA,NA,NA,NA,6,2,1,NA,1500
"3347",2,350,4,9655,2,NA,NA,NA,1,0,1,5,1,2,40,5000
"3348",1,4000,4,9662,1,NA,NA,NA,1,0,1,5,2,2,40,4200
"3349",2,450,4,9663,1,NA,NA,NA,1,1,1,5,2,2,40,2000
"3350",NA,NA,NA,9668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3351",NA,NA,4,9675,1,NA,NA,NA,NA,NA,NA,6,2,2,NA,3000
