"id","출생연도","성별","배우자월평균소득_400미만","아이양육자","직업군대분류","고용형태","최종학력","취업유무","조사연도","g115"
"2351",1982,0,1,1,0,1,0,1,2020,4
"2373",1983,0,1,0,2,1,0,1,2016,0
"2373",1983,0,1,0,2,1,0,1,2017,0
"2373",1983,0,1,0,2,1,0,1,2018,0
"2373",1983,0,1,0,2,1,0,1,2019,0
"2373",1983,0,1,0,2,1,0,1,2020,0
"2410",1981,1,1,0,-1,-1,0,0,2016,6
"2410",1981,1,1,0,-1,-1,0,0,2017,6
"2410",1981,1,1,0,-1,-1,0,0,2018,0
"2466",1987,1,1,1,2,1,0,1,2016,6
"2466",1987,1,1,0,2,1,0,1,2017,5
"2466",1987,1,1,0,2,1,0,1,2018,5
"2466",1987,1,1,0,2,1,0,1,2019,5
"2476",1981,0,1,0,1,1,0,1,2016,0
"2476",1981,0,0,1,1,1,0,1,2017,7
"2476",1981,0,1,0,1,1,0,1,2018,0
"2476",1981,0,1,0,1,1,0,1,2019,0
"2476",1981,0,1,0,1,1,0,1,2020,0
"2511",1979,0,1,0,2,1,0,1,2016,0
"2511",1979,0,1,0,2,1,0,1,2017,0
"2511",1979,0,1,0,2,1,0,1,2018,0
"2511",1979,0,1,0,2,1,0,1,2019,0
"2511",1979,0,1,1,2,1,0,1,2020,0
"2525",1986,1,1,0,-1,-1,0,0,2016,4
"2525",1986,1,1,0,-1,-1,0,0,2017,3
"2525",1986,1,1,0,-1,-1,0,0,2019,0
"2532",1980,0,1,0,2,1,0,1,2016,0
"2539",1981,0,1,0,1,1,0,1,2016,0
"2539",1981,0,1,0,1,1,0,1,2020,0
"2571",1982,1,1,0,0,1,0,1,2016,6
"2571",1982,1,1,0,0,1,0,1,2017,4
"2571",1982,1,1,0,0,1,0,1,2018,6
"2579",1979,1,1,0,0,1,0,1,2016,5
"2584",1981,0,1,0,1,1,1,1,2016,3
"2584",1981,0,1,0,1,1,1,1,2017,0
"2584",1981,0,1,0,1,1,1,1,2018,0
"2584",1981,0,1,0,1,1,1,1,2020,0
"2585",1978,1,1,0,-1,-1,0,0,2016,0
"2585",1978,1,1,0,-1,-1,0,0,2017,0
"2585",1978,1,1,0,-1,-1,0,0,2018,0
"2585",1978,1,1,1,0,1,0,1,2019,6
"2585",1978,1,1,0,0,1,0,1,2020,6
"2598",1985,1,1,0,0,2,0,1,2016,5
"2598",1985,1,1,0,-1,-1,0,0,2017,5
"2598",1985,1,0,0,0,2,0,1,2018,7
